Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,19738624,19738624,0,0.015640735626220703,41232,44999
1,19738624,19738624,0,0.0,41232,44999
2,19738624,19738624,0,0.004013776779174805,41232,44999
3,19738624,19738624,0,0.0,41232,44999
4,19738624,19738624,0,0.0,41232,44999
5,19738624,19738624,0,0.0,41232,44999
6,19738624,19738624,0,0.0,41232,44999
7,19738624,19738624,0,0.0,41232,44999
8,19738624,19738624,0,0.0,41232,44999
9,19738624,19738624,0,0.0,41232,44999
