Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,16605184,16605184,0,0.0,90529,-1
1,16609280,16609280,0,0.0,90529,-1
2,16609280,16609280,0,0.0,90529,-1
3,16609280,16609280,0,0.0,90529,-1
4,16609280,16609280,0,0.0,90529,-1
5,16609280,16609280,0,0.0,90529,-1
6,16613376,16613376,0,0.0,90529,-1
7,16613376,16613376,0,0.0,90529,-1
8,16613376,16613376,0,0.0,90529,-1
9,16613376,16613376,0,0.0,90529,-1
10,16613376,16613376,0,0.0,90529,-1
11,16613376,16613376,0,0.0,90529,-1
12,16613376,16613376,0,0.0,90529,-1
13,16613376,16613376,0,0.0,90529,-1
14,16613376,16613376,0,0.0,90529,-1
15,16613376,16613376,0,0.0,90529,-1
16,16613376,16613376,0,0.0,90529,-1
17,16613376,16613376,0,0.0,90529,-1
18,16613376,16613376,0,0.0,90529,-1
19,16613376,16613376,0,0.0,90529,-1
20,16621568,16621568,0,0.0,90529,-1
21,16621568,16621568,0,0.0,90529,-1
22,16621568,16621568,0,0.0,90529,-1
23,16621568,16621568,0,0.0,90529,-1
24,16621568,16621568,0,0.0,90529,-1
25,16621568,16621568,0,0.0,90529,-1
26,16621568,16621568,0,0.0,90529,-1
27,16621568,16621568,0,0.0,90529,-1
28,16621568,16621568,0,0.0,90529,-1
29,16621568,16621568,0,0.0,90529,-1
30,16621568,16621568,0,0.0,90529,-1
31,16621568,16621568,0,0.0,90529,-1
32,16621568,16621568,0,0.0,90529,-1
33,16621568,16621568,0,0.0,90529,-1
34,16625664,16625664,0,0.0,90529,-1
35,16625664,16625664,0,0.0,90529,-1
36,16625664,16625664,0,0.0,90529,-1
37,16625664,16625664,0,0.0,90529,-1
38,16625664,16625664,0,0.0,90529,-1
39,16625664,16625664,0,0.0,90529,-1
40,16625664,16625664,0,0.0,90529,-1
41,16625664,16625664,0,0.0,90529,-1
42,16625664,16625664,0,0.0,90529,-1
43,16625664,16625664,0,0.0,90529,-1
44,16625664,16625664,0,0.0,90529,-1
45,16625664,16625664,0,0.0,90529,-1
46,16625664,16625664,0,0.0,90529,-1
47,16625664,16625664,0,0.0,90529,-1
48,16625664,16625664,0,0.0,90529,-1
49,16625664,16625664,0,0.0,90529,-1
50,16625664,16625664,0,0.0,90529,-1
51,16625664,16625664,0,0.0,90529,-1
52,16625664,16625664,0,0.0,90529,-1
53,16625664,16625664,0,0.0,90529,-1
54,16625664,16625664,0,0.0,90529,-1
55,16625664,16625664,0,0.0,90529,-1
56,16625664,16625664,0,0.0,90529,-1
57,16625664,16625664,0,0.0,90529,-1
58,16625664,16625664,0,0.0,90529,-1
59,16625664,16625664,0,0.0,90529,-1
60,16629760,16629760,0,0.0,90529,-1
61,16629760,16629760,0,0.0,90529,-1
62,16629760,16629760,0,0.0,90529,-1
63,16633856,16633856,0,0.0,90529,-1
64,16633856,16633856,0,0.0,90529,-1
65,16633856,16633856,0,0.0,90529,-1
66,16633856,16633856,0,0.0,90529,-1
67,16633856,16633856,0,0.0,90529,-1
68,16633856,16633856,0,0.0,90529,-1
69,16633856,16633856,0,0.0,90529,-1
70,16633856,16633856,0,0.0,90529,-1
71,16633856,16633856,0,0.0,90529,-1
72,16633856,16633856,0,0.0,90529,-1
73,16637952,16637952,0,0.0,90529,-1
74,16637952,16637952,0,0.0,90529,-1
75,16637952,16637952,0,0.0,90529,-1
76,16637952,16637952,0,0.0,90529,-1
77,16637952,16637952,0,0.0,90529,-1
78,16637952,16637952,0,0.0,90529,-1
79,16637952,16637952,0,0.0,90529,-1
80,16637952,16637952,0,0.0,90529,-1
81,16637952,16637952,0,0.0,90529,-1
82,16637952,16637952,0,0.0,90529,-1
83,16637952,16637952,0,0.0,90529,-1
84,16637952,16637952,0,0.0,90529,-1
85,16637952,16637952,0,0.0,90529,-1
86,16637952,16637952,0,0.0,90529,-1
87,16642048,16642048,0,0.0,90529,-1
88,16642048,16642048,0,0.0,90529,-1
89,16642048,16642048,0,0.0,90529,-1
90,16642048,16642048,0,0.0,90529,-1
91,16642048,16642048,0,0.0,90529,-1
92,16642048,16642048,0,0.0,90529,-1
93,16642048,16642048,0,0.0,90529,-1
94,16642048,16642048,0,0.0,90529,-1
95,16642048,16642048,0,0.0,90529,-1
96,16642048,16642048,0,0.0,90529,-1
97,16642048,16642048,0,0.0,90529,-1
98,16642048,16642048,0,0.0,90529,-1
99,16642048,16642048,0,0.0,90529,-1
