Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,21434368,21434368,0,0.01564645767211914,98119,71213
1,21434368,21434368,0,0.0,98119,71213
2,21434368,21434368,0,0.005549192428588867,98119,71213
3,21434368,21434368,0,0.0,98119,71213
4,21434368,21434368,0,0.0,98119,71213
5,21434368,21434368,0,0.0,98119,71213
6,21434368,21434368,0,0.0,98119,71213
7,21434368,21434368,0,0.0,98119,71213
8,21434368,21434368,0,0.0,98119,71213
9,21434368,21434368,0,0.0,98119,71213
