Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,3632164864,3632164864,0,1.003861427307129,34306736,20449207
1,3632164864,3632164864,0,0.9522593021392822,34306736,20449207
2,3632164864,3632164864,0,0.9879240989685059,34306736,20449207
3,3632164864,3632164864,0,0.8791286945343018,34306736,20449207
4,3632164864,3632164864,0,1.004218578338623,34306736,20449207
5,3632164864,3632164864,0,0.910681962966919,34306736,20449207
6,3632164864,3632164864,0,0.9727938175201416,34306736,20449207
7,3632164864,3632164864,0,0.9889874458312988,34306736,20449207
8,3632164864,3632164864,0,0.9889111518859863,34306736,20449207
9,3632164864,3632164864,0,1.0201518535614014,34306736,20449207
