Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,16666624,16666624,0,0.0,1,1
1,16670720,16670720,0,0.0,1,1
2,16670720,16670720,0,0.0,1,1
3,16670720,16670720,0,0.0,1,1
4,16670720,16670720,0,0.0,1,1
5,16670720,16670720,0,0.0,1,1
6,16674816,16674816,0,0.0,1,1
7,16674816,16674816,0,0.0,1,1
8,16674816,16674816,0,0.0,1,1
9,16674816,16674816,0,0.0,1,1
10,16674816,16674816,0,0.0,1,1
11,16674816,16674816,0,0.0,1,1
12,16674816,16674816,0,0.0,1,1
13,16674816,16674816,0,0.0,1,1
14,16674816,16674816,0,0.0,1,1
15,16674816,16674816,0,0.0,1,1
16,16674816,16674816,0,0.0,1,1
17,16674816,16674816,0,0.0,1,1
18,16674816,16674816,0,0.0,1,1
19,16674816,16674816,0,0.0,1,1
20,16678912,16683008,4096,0.0,1,1
21,16683008,16683008,0,0.0,1,1
22,16683008,16683008,0,0.0,1,1
23,16683008,16683008,0,0.0,1,1
24,16683008,16683008,0,0.0,1,1
25,16683008,16683008,0,0.0,1,1
26,16683008,16683008,0,0.0,1,1
27,16683008,16683008,0,0.0,1,1
28,16683008,16683008,0,0.0,1,1
29,16683008,16683008,0,0.0,1,1
30,16683008,16683008,0,0.0,1,1
31,16683008,16683008,0,0.0,1,1
32,16683008,16683008,0,0.0,1,1
33,16683008,16683008,0,0.0,1,1
34,16687104,16687104,0,0.0,1,1
35,16687104,16687104,0,0.0,1,1
36,16687104,16687104,0,0.0,1,1
37,16687104,16687104,0,0.0,1,1
38,16687104,16687104,0,0.0,1,1
39,16687104,16687104,0,0.0,1,1
40,16687104,16687104,0,0.0,1,1
41,16687104,16687104,0,0.0,1,1
42,16687104,16687104,0,0.0,1,1
43,16687104,16687104,0,0.0,1,1
44,16687104,16687104,0,0.0,1,1
45,16687104,16687104,0,0.0,1,1
46,16687104,16687104,0,0.0,1,1
47,16691200,16691200,0,0.0,1,1
48,16691200,16691200,0,0.0,1,1
49,16691200,16691200,0,0.0,1,1
50,16691200,16691200,0,0.0,1,1
51,16691200,16691200,0,0.0,1,1
52,16691200,16691200,0,0.0,1,1
53,16691200,16691200,0,0.0,1,1
54,16691200,16691200,0,0.0,1,1
55,16691200,16691200,0,0.0,1,1
56,16691200,16691200,0,0.0,1,1
57,16691200,16691200,0,0.0,1,1
58,16691200,16691200,0,0.0,1,1
59,16691200,16691200,0,0.0,1,1
60,16695296,16695296,0,0.0,1,1
61,16695296,16695296,0,0.0,1,1
62,16695296,16695296,0,0.0,1,1
63,16699392,16699392,0,0.0,1,1
64,16699392,16699392,0,0.0,1,1
65,16699392,16699392,0,0.0,1,1
66,16699392,16699392,0,0.0,1,1
67,16699392,16699392,0,0.0,1,1
68,16699392,16699392,0,0.0,1,1
69,16699392,16699392,0,0.0,1,1
70,16699392,16699392,0,0.0,1,1
71,16699392,16699392,0,0.0,1,1
72,16699392,16699392,0,0.0,1,1
73,16703488,16703488,0,0.0,1,1
74,16703488,16703488,0,0.0,1,1
75,16703488,16703488,0,0.0,1,1
76,16703488,16703488,0,0.0,1,1
77,16703488,16703488,0,0.0,1,1
78,16703488,16703488,0,0.0,1,1
79,16703488,16703488,0,0.0,1,1
80,16703488,16703488,0,0.0,1,1
81,16703488,16703488,0,0.0,1,1
82,16703488,16703488,0,0.0,1,1
83,16703488,16703488,0,0.0,1,1
84,16703488,16703488,0,0.0,1,1
85,16703488,16703488,0,0.0,1,1
86,16703488,16703488,0,0.0,1,1
87,16707584,16707584,0,0.0,1,1
88,16707584,16707584,0,0.0,1,1
89,16707584,16707584,0,0.0,1,1
90,16707584,16707584,0,0.0,1,1
91,16707584,16707584,0,0.0,1,1
92,16707584,16707584,0,0.0,1,1
93,16707584,16707584,0,0.0,1,1
94,16707584,16707584,0,0.0,1,1
95,16707584,16707584,0,0.0,1,1
96,16707584,16707584,0,0.0,1,1
97,16707584,16707584,0,0.0,1,1
98,16707584,16707584,0,0.0,1,1
99,16707584,16707584,0,0.0,1,1
