Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,37240832,37240832,0,0.0317225456237793,359255,449999
1,37240832,37240832,0,0.015665769577026367,359255,449999
2,37240832,37240832,0,0.015644550323486328,359255,449999
3,37240832,37240832,0,0.015644311904907227,359255,449999
4,37240832,37240832,0,0.016033649444580078,359255,449999
5,37240832,37240832,0,0.01565265655517578,359255,449999
6,37240832,37240832,0,0.01562809944152832,359255,449999
7,37240832,37240832,0,0.015646934509277344,359255,449999
8,37240832,37240832,0,0.016683340072631836,359255,449999
9,37240832,37240832,0,0.01566290855407715,359255,449999
