Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,202338304,202338304,0,0.0,587361,0
1,202342400,202342400,0,0.0,587361,0
2,202342400,202342400,0,0.0,587361,0
3,202346496,202346496,0,0.0,587361,0
4,202346496,202346496,0,0.0,587361,0
5,202346496,202346496,0,0.0,587361,0
6,202346496,202346496,0,0.0,587361,0
7,202346496,202346496,0,0.0,587361,0
8,202346496,202346496,0,0.0,587361,0
9,202346496,202346496,0,0.0,587361,0
