Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,4026085376,4026085376,0,4.739753246307373,100000000,99999999
1,4026085376,4026085376,0,4.503967523574829,100000000,99999999
2,4026085376,4026085376,0,4.3621485233306885,100000000,99999999
3,4026085376,4026048512,36864,4.347223997116089,100000000,99999999
4,4026048512,4026048512,0,4.4115846157073975,100000000,99999999
5,4026048512,4026048512,0,4.378342151641846,100000000,99999999
6,4026048512,4026048512,0,4.568509817123413,100000000,99999999
7,4026048512,4026048512,0,4.208828687667847,100000000,99999999
8,4026048512,4026048512,0,4.490355491638184,100000000,99999999
9,4026048512,4026048512,0,4.457886695861816,100000000,99999999
