Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,421441536,421441536,0,0.45533156394958496,9999999,9999999
1,421441536,421441536,0,0.48624444007873535,9999999,9999999
2,421441536,421441536,0,0.4105343818664551,9999999,9999999
3,421441536,421441536,0,0.39248132705688477,9999999,9999999
4,421441536,421441536,0,0.42367005348205566,9999999,9999999
5,421441536,421441536,0,0.4864766597747803,9999999,9999999
6,421441536,421441536,0,0.47040486335754395,9999999,9999999
7,421441536,421441536,0,0.4080817699432373,9999999,9999999
8,421441536,421441536,0,0.43927979469299316,9999999,9999999
9,421441536,421441536,0,0.45546770095825195,9999999,9999999
