Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,17326080,17326080,0,0.0,1000,999
1,17326080,17326080,0,0.0,1000,999
2,17326080,17326080,0,0.0,1000,999
3,17326080,17326080,0,0.0,1000,999
4,17326080,17326080,0,0.0,1000,999
5,17326080,17326080,0,0.0,1000,999
6,17326080,17326080,0,0.0,1000,999
7,17326080,17326080,0,0.0,1000,999
8,17326080,17326080,0,0.0,1000,999
9,17326080,17326080,0,0.0,1000,999
