Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,200601600,200601600,0,0.14807415008544922,24362,3096797
1,200601600,200601600,0,0.14107346534729004,24362,3096797
2,200601600,200601600,0,0.14168643951416016,24362,3096797
3,200601600,200601600,0,0.14126300811767578,24362,3096797
4,200601600,200601600,0,0.15724563598632812,24362,3096797
5,200601600,200601600,0,0.12555480003356934,24362,3096797
6,200601600,200601600,0,0.14504623413085938,24362,3096797
7,200601600,200601600,0,0.14104819297790527,24362,3096797
8,200601600,200601600,0,0.1466670036315918,24362,3096797
9,200601600,200601600,0,0.12550854682922363,24362,3096797
