Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,16719872,16719872,0,0.0,100,99
1,16723968,16723968,0,0.0,100,99
2,16723968,16723968,0,0.0,100,99
3,16723968,16723968,0,0.0,100,99
4,16723968,16723968,0,0.0,100,99
5,16723968,16723968,0,0.0,100,99
6,16728064,16728064,0,0.0,100,99
7,16728064,16728064,0,0.0,100,99
8,16728064,16728064,0,0.0,100,99
9,16728064,16728064,0,0.0,100,99
10,16728064,16728064,0,0.0,100,99
11,16728064,16728064,0,0.0,100,99
12,16728064,16728064,0,0.0,100,99
13,16728064,16728064,0,0.0,100,99
14,16728064,16728064,0,0.0,100,99
15,16728064,16728064,0,0.0,100,99
16,16728064,16728064,0,0.0,100,99
17,16728064,16728064,0,0.0,100,99
18,16728064,16728064,0,0.0,100,99
19,16728064,16728064,0,0.0,100,99
20,16732160,16736256,4096,0.0,100,99
21,16736256,16736256,0,0.0,100,99
22,16736256,16736256,0,0.0,100,99
23,16736256,16736256,0,0.0,100,99
24,16736256,16736256,0,0.0,100,99
25,16736256,16736256,0,0.0,100,99
26,16736256,16736256,0,0.0,100,99
27,16736256,16736256,0,0.0,100,99
28,16736256,16736256,0,0.0,100,99
29,16736256,16736256,0,0.0,100,99
30,16736256,16736256,0,0.0,100,99
31,16736256,16736256,0,0.0,100,99
32,16736256,16736256,0,0.0,100,99
33,16736256,16736256,0,0.0,100,99
34,16740352,16740352,0,0.0,100,99
35,16740352,16740352,0,0.0,100,99
36,16740352,16740352,0,0.0,100,99
37,16740352,16740352,0,0.0,100,99
38,16740352,16740352,0,0.0,100,99
39,16740352,16740352,0,0.0,100,99
40,16740352,16740352,0,0.0,100,99
41,16740352,16740352,0,0.0,100,99
42,16740352,16740352,0,0.0,100,99
43,16740352,16740352,0,0.0,100,99
44,16740352,16740352,0,0.0,100,99
45,16740352,16740352,0,0.0,100,99
46,16740352,16740352,0,0.0,100,99
47,16740352,16740352,0,0.0,100,99
48,16740352,16740352,0,0.0,100,99
49,16740352,16740352,0,0.0,100,99
50,16740352,16740352,0,0.0,100,99
51,16740352,16740352,0,0.0,100,99
52,16740352,16740352,0,0.0,100,99
53,16740352,16740352,0,0.0,100,99
54,16740352,16740352,0,0.0,100,99
55,16740352,16740352,0,0.0,100,99
56,16740352,16740352,0,0.0,100,99
57,16740352,16740352,0,0.0,100,99
58,16740352,16740352,0,0.0,100,99
59,16740352,16740352,0,0.0,100,99
60,16744448,16744448,0,0.0,100,99
61,16744448,16744448,0,0.0,100,99
62,16744448,16744448,0,0.0,100,99
63,16748544,16748544,0,0.0,100,99
64,16748544,16748544,0,0.0,100,99
65,16748544,16748544,0,0.0,100,99
66,16748544,16748544,0,0.0,100,99
67,16748544,16748544,0,0.0,100,99
68,16748544,16748544,0,0.0,100,99
69,16748544,16748544,0,0.0,100,99
70,16748544,16748544,0,0.0,100,99
71,16748544,16748544,0,0.0,100,99
72,16748544,16748544,0,0.0,100,99
73,16752640,16752640,0,0.0,100,99
74,16752640,16752640,0,0.0,100,99
75,16752640,16752640,0,0.0,100,99
76,16752640,16752640,0,0.0,100,99
77,16752640,16752640,0,0.0,100,99
78,16752640,16752640,0,0.0,100,99
79,16752640,16752640,0,0.0,100,99
80,16752640,16752640,0,0.0,100,99
81,16752640,16752640,0,0.0,100,99
82,16752640,16752640,0,0.0,100,99
83,16752640,16752640,0,0.0,100,99
84,16752640,16752640,0,0.0,100,99
85,16752640,16752640,0,0.0,100,99
86,16752640,16752640,0,0.0,100,99
87,16756736,16756736,0,0.0,100,99
88,16756736,16756736,0,0.0,100,99
89,16756736,16756736,0,0.0,100,99
90,16756736,16756736,0,0.0,100,99
91,16756736,16756736,0,0.0,100,99
92,16756736,16756736,0,0.0,100,99
93,16756736,16756736,0,0.0,100,99
94,16756736,16756736,0,0.0,100,99
95,16756736,16756736,0,0.0,100,99
96,16756736,16756736,0,0.0,100,99
97,16756736,16756736,0,0.0,100,99
98,16756736,16756736,0,0.0,100,99
99,16756736,16756736,0,0.0,100,99
