Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,3631026176,3631026176,0,4.377785682678223,34306736,89999999
1,3631026176,3631026176,0,4.09528112411499,34306736,89999999
2,3631026176,3631026176,0,3.922713279724121,34306736,89999999
3,3631026176,3631026176,0,4.095017433166504,34306736,89999999
4,3631026176,3631026176,0,4.111614942550659,34306736,89999999
5,3631026176,3631026176,0,4.000856399536133,34306736,89999999
6,3631026176,3631026176,0,3.830655336380005,34306736,89999999
7,3631026176,3631026176,0,3.939868688583374,34306736,89999999
8,3631026176,3631026176,0,3.9400405883789062,34306736,89999999
9,3631026176,3631026176,0,3.956096887588501,34306736,89999999
