Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,58032128,58032128,0,0.047318458557128906,95406,95406
1,58032128,58032128,0,0.05489921569824219,95406,95406
2,58032128,58032128,0,0.046938180923461914,95406,95406
3,58032128,58032128,0,0.05292463302612305,95406,95406
4,58032128,58032128,0,0.04689931869506836,95406,95406
5,58032128,58032128,0,0.04730963706970215,95406,95406
6,58032128,58032128,0,0.04687833786010742,95406,95406
7,58032128,58032128,0,0.04732966423034668,95406,95406
8,58032128,58032128,0,0.04688286781311035,95406,95406
9,58032128,58032128,0,0.04738259315490723,95406,95406
