Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,17973248,17973248,0,0.0,9999,9999
1,17973248,17973248,0,0.0,9999,9999
2,17973248,17973248,0,0.0,9999,9999
3,17973248,17973248,0,0.0,9999,9999
4,17973248,17973248,0,0.0,9999,9999
5,17973248,17973248,0,0.0,9999,9999
6,17973248,17973248,0,0.0,9999,9999
7,17973248,17973248,0,0.0,9999,9999
8,17973248,17973248,0,0.0,9999,9999
9,17973248,17973248,0,0.0,9999,9999
