Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,22409216,22409216,0,0.015632152557373047,30250,-1
1,22409216,22409216,0,0.0,30250,-1
2,22409216,22409216,0,0.0,30250,-1
3,22409216,22409216,0,0.0,30250,-1
4,22409216,22409216,0,0.0,30250,-1
5,22409216,22409216,0,0.0,30250,-1
6,22409216,22409216,0,0.0,30250,-1
7,22409216,22409216,0,0.0,30250,-1
8,22409216,22409216,0,0.0,30250,-1
9,22409216,22409216,0,0.0,30250,-1
