Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,54714368,54714368,0,0.04691505432128906,657723,899999
1,54714368,54714368,0,0.04734444618225098,657723,899999
2,54714368,54714368,0,0.046875,657723,899999
3,54714368,54714368,0,0.046904563903808594,657723,899999
4,54714368,54714368,0,0.04729318618774414,657723,899999
5,54714368,54714368,0,0.04691338539123535,657723,899999
6,54714368,54714368,0,0.028172969818115234,657723,899999
7,54714368,54714368,0,0.04732537269592285,657723,899999
8,54714368,54714368,0,0.048413991928100586,657723,899999
9,54714368,54714368,0,0.04690814018249512,657723,899999
