Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,200015872,200015872,0,0.21969842910766602,44081,-1
1,200015872,200015872,0,0.20398807525634766,44081,-1
2,200015872,200015872,0,0.2081146240234375,44081,-1
3,200015872,200015872,0,0.20055818557739258,44081,-1
4,200015872,200015872,0,0.2196667194366455,44081,-1
5,200015872,200015872,0,0.23528623580932617,44081,-1
6,200015872,200015872,0,0.22268366813659668,44081,-1
7,200015872,200015872,0,0.19145941734313965,44081,-1
8,200015872,200015872,0,0.2039797306060791,44081,-1
9,200015872,200015872,0,0.1883409023284912,44081,-1
