Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,39366656,39366656,0,0.01562047004699707,500000,499999
1,39366656,39366656,0,0.03126120567321777,500000,499999
2,39366656,39366656,0,0.022657394409179688,500000,499999
3,39366656,39366656,0,0.0312502384185791,500000,499999
4,39366656,39366656,0,0.0216672420501709,500000,499999
5,39366656,39366656,0,0.0156710147857666,500000,499999
6,39366656,39366656,0,0.015639781951904297,500000,499999
7,39366656,39366656,0,0.015642404556274414,500000,499999
8,39366656,39366656,0,0.03168964385986328,500000,499999
9,39366656,39366656,0,0.03126358985900879,500000,499999
