Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,200638464,200638464,0,0.20399689674377441,587361,0
1,200642560,200642560,0,0.20403814315795898,587361,0
2,200642560,200642560,0,0.20402002334594727,587361,0
3,200642560,200642560,0,0.20403122901916504,587361,0
4,200642560,200642560,0,0.21354246139526367,587361,0
5,200642560,200642560,0,0.20395541191101074,587361,0
6,200642560,200642560,0,0.21964764595031738,587361,0
7,200646656,200646656,0,0.2196495532989502,587361,0
8,200646656,200646656,0,0.2356886863708496,587361,0
9,200646656,200646656,0,0.20398950576782227,587361,0
