Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,17305600,17305600,0,0.0,23308,-1
1,17305600,17305600,0,0.0,23308,-1
2,17305600,17305600,0,0.0,23308,-1
3,17305600,17305600,0,0.0,23308,-1
4,17305600,17305600,0,0.0,23308,-1
5,17305600,17305600,0,0.0,23308,-1
6,17305600,17305600,0,0.0,23308,-1
7,17305600,17305600,0,0.0,23308,-1
8,17305600,17305600,0,0.0,23308,-1
9,17305600,17305600,0,0.0,23308,-1
