Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,4031598592,4031565824,32768,4.4718852043151855,63200,63200
1,4031565824,4031565824,0,4.410295248031616,63200,63200
2,4031565824,4031565824,0,4.440796375274658,63200,63200
3,4031565824,4031565824,0,4.378068685531616,63200,63200
4,4031565824,4031565824,0,4.3789496421813965,63200,63200
5,4031565824,4031565824,0,4.599694490432739,63200,63200
6,4031565824,4031565824,0,4.519982099533081,63200,63200
7,4031565824,4031565824,0,4.502624750137329,63200,63200
8,4031565824,4031565824,0,4.315263509750366,63200,63200
9,4031565824,4031565824,0,4.410603284835815,63200,63200
