Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,17330176,17330176,0,0.0,94100,-1
1,17330176,17330176,0,0.0,94100,-1
2,17330176,17330176,0,0.0,94100,-1
3,17330176,17330176,0,0.0,94100,-1
4,17330176,17330176,0,0.0,94100,-1
5,17330176,17330176,0,0.0,94100,-1
6,17330176,17330176,0,0.0,94100,-1
7,17330176,17330176,0,0.0,94100,-1
8,17330176,17330176,0,0.0,94100,-1
9,17330176,17330176,0,0.0,94100,-1
