Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,17592320,17592320,0,0.0,5000,4999
1,17592320,17592320,0,0.0,5000,4999
2,17592320,17592320,0,0.0,5000,4999
3,17592320,17592320,0,0.0,5000,4999
4,17592320,17592320,0,0.0,5000,4999
5,17592320,17592320,0,0.0,5000,4999
6,17592320,17592320,0,0.0,5000,4999
7,17592320,17592320,0,0.0,5000,4999
8,17592320,17592320,0,0.0,5000,4999
9,17592320,17592320,0,0.0,5000,4999
