Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,16703488,16703488,0,0.0,1999,1999
1,16707584,16707584,0,0.0,1999,1999
2,16707584,16707584,0,0.0,1999,1999
3,16707584,16707584,0,0.0,1999,1999
4,16707584,16707584,0,0.0,1999,1999
5,16707584,16707584,0,0.0,1999,1999
6,16711680,16711680,0,0.0,1999,1999
7,16711680,16711680,0,0.0,1999,1999
8,16711680,16711680,0,0.0,1999,1999
9,16711680,16711680,0,0.0,1999,1999
10,16711680,16711680,0,0.0,1999,1999
11,16711680,16711680,0,0.0,1999,1999
12,16711680,16711680,0,0.0,1999,1999
13,16711680,16711680,0,0.0,1999,1999
14,16711680,16711680,0,0.0,1999,1999
15,16711680,16711680,0,0.0,1999,1999
16,16711680,16711680,0,0.0,1999,1999
17,16711680,16711680,0,0.0,1999,1999
18,16711680,16711680,0,0.0,1999,1999
19,16711680,16711680,0,0.0,1999,1999
20,16719872,16719872,0,0.0,1999,1999
21,16719872,16719872,0,0.0,1999,1999
22,16719872,16719872,0,0.0,1999,1999
23,16719872,16719872,0,0.0,1999,1999
24,16719872,16719872,0,0.0,1999,1999
25,16719872,16719872,0,0.0,1999,1999
26,16719872,16719872,0,0.0,1999,1999
27,16719872,16719872,0,0.0,1999,1999
28,16719872,16719872,0,0.0,1999,1999
29,16719872,16719872,0,0.0,1999,1999
30,16719872,16719872,0,0.0,1999,1999
31,16719872,16719872,0,0.0,1999,1999
32,16719872,16719872,0,0.0,1999,1999
33,16719872,16719872,0,0.0,1999,1999
34,16723968,16723968,0,0.0,1999,1999
35,16723968,16723968,0,0.0,1999,1999
36,16723968,16723968,0,0.0,1999,1999
37,16723968,16723968,0,0.0,1999,1999
38,16723968,16723968,0,0.0,1999,1999
39,16723968,16723968,0,0.0,1999,1999
40,16723968,16723968,0,0.0,1999,1999
41,16723968,16723968,0,0.0,1999,1999
42,16723968,16723968,0,0.0,1999,1999
43,16723968,16723968,0,0.0,1999,1999
44,16723968,16723968,0,0.0,1999,1999
45,16723968,16723968,0,0.0,1999,1999
46,16723968,16723968,0,0.0,1999,1999
47,16723968,16723968,0,0.0,1999,1999
48,16723968,16723968,0,0.0,1999,1999
49,16723968,16723968,0,0.0,1999,1999
50,16723968,16723968,0,0.0,1999,1999
51,16723968,16723968,0,0.0,1999,1999
52,16728064,16728064,0,0.0,1999,1999
53,16728064,16728064,0,0.0,1999,1999
54,16728064,16728064,0,0.0,1999,1999
55,16728064,16728064,0,0.0,1999,1999
56,16728064,16728064,0,0.0,1999,1999
57,16728064,16728064,0,0.0,1999,1999
58,16728064,16728064,0,0.0,1999,1999
59,16728064,16728064,0,0.0,1999,1999
60,16728064,16728064,0,0.0,1999,1999
61,16728064,16728064,0,0.0,1999,1999
62,16728064,16728064,0,0.0,1999,1999
63,16728064,16728064,0,0.0,1999,1999
64,16728064,16728064,0,0.0,1999,1999
65,16728064,16728064,0,0.0,1999,1999
66,16728064,16728064,0,0.0,1999,1999
67,16728064,16728064,0,0.0,1999,1999
68,16728064,16728064,0,0.0,1999,1999
69,16728064,16728064,0,0.0,1999,1999
70,16728064,16728064,0,0.0,1999,1999
71,16728064,16728064,0,0.0,1999,1999
72,16728064,16728064,0,0.0,1999,1999
73,16728064,16728064,0,0.0,1999,1999
74,16728064,16728064,0,0.0,1999,1999
75,16728064,16728064,0,0.0,1999,1999
76,16728064,16728064,0,0.0,1999,1999
77,16728064,16728064,0,0.0,1999,1999
78,16728064,16728064,0,0.0,1999,1999
79,16728064,16728064,0,0.0,1999,1999
80,16728064,16728064,0,0.0,1999,1999
81,16728064,16728064,0,0.0,1999,1999
82,16728064,16728064,0,0.0,1999,1999
83,16728064,16728064,0,0.0,1999,1999
84,16732160,16732160,0,0.0,1999,1999
85,16732160,16732160,0,0.0,1999,1999
86,16732160,16732160,0,0.0,1999,1999
87,16736256,16736256,0,0.0,1999,1999
88,16736256,16736256,0,0.0,1999,1999
89,16736256,16736256,0,0.0,1999,1999
90,16736256,16736256,0,0.0,1999,1999
91,16736256,16736256,0,0.0,1999,1999
92,16736256,16736256,0,0.0,1999,1999
93,16736256,16736256,0,0.0,1999,1999
94,16736256,16736256,0,0.0,1999,1999
95,16736256,16736256,0,0.0,1999,1999
96,16736256,16736256,0,0.0,1999,1999
97,16736256,16736256,0,0.0,1999,1999
98,16736256,16736256,0,0.0,1999,1999
99,16736256,16736256,0,0.0,1999,1999
