Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,16629760,16629760,0,0.0,999,999
1,16633856,16633856,0,0.0,999,999
2,16633856,16633856,0,0.0,999,999
3,16633856,16633856,0,0.0,999,999
4,16633856,16633856,0,0.0,999,999
5,16633856,16633856,0,0.0,999,999
6,16637952,16637952,0,0.0,999,999
7,16637952,16637952,0,0.0,999,999
8,16637952,16637952,0,0.0,999,999
9,16637952,16637952,0,0.0,999,999
10,16637952,16637952,0,0.0,999,999
11,16637952,16637952,0,0.0,999,999
12,16637952,16637952,0,0.0,999,999
13,16637952,16637952,0,0.0,999,999
14,16637952,16637952,0,0.0,999,999
15,16642048,16642048,0,0.0,999,999
16,16642048,16642048,0,0.0,999,999
17,16642048,16642048,0,0.0,999,999
18,16642048,16642048,0,0.0,999,999
19,16642048,16642048,0,0.0,999,999
20,16646144,16646144,0,0.0,999,999
21,16646144,16646144,0,0.0,999,999
22,16646144,16646144,0,0.0,999,999
23,16646144,16646144,0,0.0,999,999
24,16646144,16646144,0,0.0,999,999
25,16646144,16646144,0,0.0,999,999
26,16646144,16646144,0,0.0,999,999
27,16646144,16646144,0,0.0,999,999
28,16646144,16646144,0,0.0,999,999
29,16646144,16646144,0,0.0,999,999
30,16646144,16646144,0,0.0,999,999
31,16646144,16646144,0,0.0,999,999
32,16646144,16646144,0,0.0,999,999
33,16646144,16646144,0,0.0,999,999
34,16650240,16650240,0,0.0,999,999
35,16650240,16650240,0,0.0,999,999
36,16650240,16650240,0,0.0,999,999
37,16650240,16650240,0,0.0,999,999
38,16650240,16650240,0,0.0,999,999
39,16650240,16650240,0,0.0,999,999
40,16650240,16650240,0,0.0,999,999
41,16650240,16650240,0,0.0,999,999
42,16650240,16650240,0,0.0,999,999
43,16650240,16650240,0,0.0,999,999
44,16650240,16650240,0,0.0,999,999
45,16650240,16650240,0,0.0,999,999
46,16650240,16650240,0,0.0,999,999
47,16654336,16654336,0,0.0,999,999
48,16654336,16654336,0,0.0,999,999
49,16654336,16654336,0,0.0,999,999
50,16654336,16654336,0,0.0,999,999
51,16654336,16654336,0,0.0,999,999
52,16654336,16654336,0,0.0,999,999
53,16654336,16654336,0,0.0,999,999
54,16654336,16654336,0,0.0,999,999
55,16654336,16654336,0,0.0,999,999
56,16654336,16654336,0,0.0,999,999
57,16654336,16654336,0,0.0,999,999
58,16654336,16654336,0,0.0,999,999
59,16654336,16654336,0,0.0,999,999
60,16658432,16658432,0,0.0,999,999
61,16658432,16658432,0,0.0,999,999
62,16658432,16658432,0,0.0,999,999
63,16658432,16658432,0,0.0,999,999
64,16658432,16658432,0,0.0,999,999
65,16658432,16658432,0,0.0,999,999
66,16658432,16658432,0,0.0,999,999
67,16658432,16658432,0,0.0,999,999
68,16658432,16658432,0,0.0,999,999
69,16658432,16658432,0,0.0,999,999
70,16658432,16658432,0,0.0,999,999
71,16658432,16658432,0,0.0,999,999
72,16658432,16658432,0,0.0,999,999
73,16662528,16662528,0,0.0,999,999
74,16662528,16662528,0,0.0,999,999
75,16662528,16662528,0,0.0,999,999
76,16662528,16662528,0,0.0,999,999
77,16662528,16662528,0,0.0,999,999
78,16662528,16662528,0,0.0,999,999
79,16666624,16666624,0,0.0,999,999
80,16666624,16666624,0,0.0,999,999
81,16666624,16666624,0,0.0,999,999
82,16666624,16666624,0,0.0,999,999
83,16666624,16666624,0,0.0,999,999
84,16666624,16666624,0,0.0,999,999
85,16666624,16666624,0,0.0,999,999
86,16666624,16666624,0,0.0,999,999
87,16670720,16670720,0,0.0,999,999
88,16670720,16670720,0,0.0,999,999
89,16670720,16670720,0,0.0,999,999
90,16670720,16670720,0,0.0,999,999
91,16670720,16670720,0,0.0,999,999
92,16670720,16670720,0,0.0,999,999
93,16670720,16670720,0,0.0,999,999
94,16670720,16670720,0,0.0,999,999
95,16670720,16670720,0,0.0,999,999
96,16670720,16670720,0,0.0,999,999
97,16670720,16670720,0,0.0,999,999
98,16670720,16670720,0,0.0,999,999
99,16670720,16670720,0,0.0,999,999
