Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,17440768,17440768,0,0.0,98363,-1
1,17440768,17440768,0,0.0,98363,-1
2,17440768,17440768,0,0.0,98363,-1
3,17440768,17440768,0,0.0,98363,-1
4,17440768,17440768,0,0.0,98363,-1
5,17440768,17440768,0,0.0,98363,-1
6,17440768,17440768,0,0.0,98363,-1
7,17440768,17440768,0,0.0,98363,-1
8,17440768,17440768,0,0.0,98363,-1
9,17440768,17440768,0,0.0,98363,-1
10,17440768,17440768,0,0.0,98363,-1
11,17440768,17440768,0,0.0,98363,-1
12,17440768,17440768,0,0.0,98363,-1
13,17440768,17440768,0,0.0,98363,-1
14,17440768,17440768,0,0.0,98363,-1
15,17440768,17440768,0,0.0,98363,-1
16,17440768,17440768,0,0.0,98363,-1
17,17440768,17440768,0,0.0,98363,-1
18,17440768,17440768,0,0.0,98363,-1
19,17440768,17440768,0,0.0,98363,-1
20,17440768,17440768,0,0.0,98363,-1
21,17440768,17440768,0,0.0,98363,-1
22,17440768,17440768,0,0.0,98363,-1
23,17440768,17440768,0,0.0,98363,-1
24,17440768,17440768,0,0.0,98363,-1
25,17440768,17440768,0,0.0,98363,-1
26,17440768,17440768,0,0.0,98363,-1
27,17440768,17440768,0,0.0,98363,-1
28,17440768,17440768,0,0.0,98363,-1
29,17440768,17440768,0,0.0,98363,-1
30,17440768,17440768,0,0.0,98363,-1
31,17440768,17440768,0,0.0,98363,-1
32,17440768,17440768,0,0.0,98363,-1
33,17440768,17440768,0,0.0,98363,-1
34,17440768,17440768,0,0.0,98363,-1
35,17440768,17440768,0,0.0,98363,-1
36,17440768,17440768,0,0.0,98363,-1
37,17440768,17440768,0,0.0,98363,-1
38,17440768,17440768,0,0.0,98363,-1
39,17440768,17440768,0,0.0,98363,-1
40,17440768,17440768,0,0.0,98363,-1
41,17440768,17440768,0,0.0,98363,-1
42,17440768,17440768,0,0.0,98363,-1
43,17440768,17440768,0,0.0,98363,-1
44,17440768,17440768,0,0.0,98363,-1
45,17440768,17440768,0,0.0,98363,-1
46,17440768,17440768,0,0.0,98363,-1
47,17440768,17440768,0,0.0,98363,-1
48,17440768,17440768,0,0.0,98363,-1
49,17440768,17440768,0,0.0,98363,-1
50,17440768,17440768,0,0.0,98363,-1
51,17440768,17440768,0,0.0,98363,-1
52,17440768,17440768,0,0.0,98363,-1
53,17440768,17440768,0,0.0,98363,-1
54,17440768,17440768,0,0.0,98363,-1
55,17440768,17440768,0,0.0,98363,-1
56,17440768,17440768,0,0.0,98363,-1
57,17440768,17440768,0,0.0,98363,-1
58,17440768,17440768,0,0.0,98363,-1
59,17440768,17440768,0,0.0,98363,-1
60,17440768,17440768,0,0.0,98363,-1
61,17440768,17440768,0,0.0,98363,-1
62,17440768,17440768,0,0.0,98363,-1
63,17440768,17440768,0,0.0,98363,-1
64,17440768,17440768,0,0.0,98363,-1
65,17440768,17440768,0,0.0,98363,-1
66,17440768,17440768,0,0.0,98363,-1
67,17440768,17440768,0,0.0,98363,-1
68,17440768,17440768,0,0.0,98363,-1
69,17440768,17440768,0,0.0,98363,-1
70,17440768,17440768,0,0.0,98363,-1
71,17440768,17440768,0,0.0,98363,-1
72,17440768,17440768,0,0.0,98363,-1
73,17440768,17440768,0,0.0,98363,-1
74,17440768,17440768,0,0.0,98363,-1
75,17440768,17440768,0,0.0,98363,-1
76,17440768,17440768,0,0.0,98363,-1
77,17440768,17440768,0,0.0,98363,-1
78,17440768,17440768,0,0.0,98363,-1
79,17440768,17440768,0,0.0,98363,-1
80,17440768,17440768,0,0.0,98363,-1
81,17485824,17485824,0,0.0,98363,-1
82,17485824,17485824,0,0.0,98363,-1
83,17485824,17485824,0,0.0,98363,-1
84,17485824,17485824,0,0.0,98363,-1
85,17485824,17485824,0,0.0,98363,-1
86,17485824,17485824,0,0.0,98363,-1
87,17485824,17485824,0,0.0,98363,-1
88,17485824,17485824,0,0.0,98363,-1
89,17485824,17485824,0,0.0,98363,-1
90,17485824,17485824,0,0.0,98363,-1
91,17485824,17485824,0,0.0,98363,-1
92,17485824,17485824,0,0.0,98363,-1
93,17485824,17485824,0,0.0,98363,-1
94,17485824,17485824,0,0.0,98363,-1
95,17485824,17485824,0,0.0,98363,-1
96,17485824,17485824,0,0.0,98363,-1
97,17485824,17485824,0,0.0,98363,-1
98,17485824,17485824,0,0.0,98363,-1
99,17485824,17485824,0,0.0,98363,-1
