Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,17342464,17342464,0,0.0,749,899
1,17342464,17342464,0,0.0,749,899
2,17342464,17342464,0,0.0,749,899
3,17342464,17342464,0,0.0,749,899
4,17342464,17342464,0,0.0,749,899
5,17342464,17342464,0,0.0,749,899
6,17342464,17342464,0,0.0,749,899
7,17342464,17342464,0,0.0,749,899
8,17342464,17342464,0,0.0,749,899
9,17342464,17342464,0,0.0,749,899
