Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,17354752,17354752,0,0.0,58759,-1
1,17354752,17354752,0,0.0,58759,-1
2,17354752,17354752,0,0.0,58759,-1
3,17354752,17354752,0,0.0,58759,-1
4,17354752,17354752,0,0.0,58759,-1
5,17354752,17354752,0,0.0,58759,-1
6,17354752,17354752,0,0.0,58759,-1
7,17354752,17354752,0,0.0,58759,-1
8,17354752,17354752,0,0.0,58759,-1
9,17354752,17354752,0,0.0,58759,-1
