Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,200589312,200589312,0,0.0952906608581543,872352,2354468
1,200589312,200589312,0,0.10985136032104492,872352,2354468
2,200589312,200589312,0,0.1098182201385498,872352,2354468
3,200589312,200589312,0,0.10981297492980957,872352,2354468
4,200589312,200589312,0,0.0942072868347168,872352,2354468
5,200589312,200589312,0,0.10983467102050781,872352,2354468
6,200589312,200589312,0,0.10943794250488281,872352,2354468
7,200589312,200589312,0,0.11023497581481934,872352,2354468
8,200589312,200589312,0,0.1098165512084961,872352,2354468
9,200589312,200589312,0,0.10983109474182129,872352,2354468
