Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,16719872,16719872,0,0.0,9853,-1
1,16719872,16719872,0,0.0,9853,-1
2,16719872,16719872,0,0.0,9853,-1
3,16719872,16719872,0,0.0,9853,-1
4,16719872,16719872,0,0.0,9853,-1
5,16719872,16719872,0,0.0,9853,-1
6,16719872,16719872,0,0.0,9853,-1
7,16719872,16719872,0,0.0,9853,-1
8,16719872,16719872,0,0.0,9853,-1
9,16719872,16719872,0,0.0,9853,-1
