Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,4025376768,4025454592,77824,0.0,1,0
1,4025475072,4025475072,0,0.0,1,0
2,4025475072,4025475072,0,0.0,1,0
3,4025479168,4025479168,0,0.0,1,0
4,4025479168,4025479168,0,0.0,1,0
5,4025479168,4025479168,0,0.0,1,0
6,4025479168,4025479168,0,0.0,1,0
7,4025479168,4025479168,0,0.0,1,0
8,4025479168,4025479168,0,0.0,1,0
9,4025479168,4025479168,0,0.0,1,0
