Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,21815296,21815296,0,0.015642881393432617,43135,43135
1,21815296,21815296,0,0.0,43135,43135
2,21815296,21815296,0,0.0,43135,43135
3,21815296,21815296,0,0.0,43135,43135
4,21815296,21815296,0,0.0,43135,43135
5,21815296,21815296,0,0.0,43135,43135
6,21815296,21815296,0,0.0,43135,43135
7,21815296,21815296,0,0.0,43135,43135
8,21815296,21815296,0,0.0,43135,43135
9,21815296,21815296,0,0.0,43135,43135
10,21815296,21815296,0,0.0,43135,43135
11,21815296,21815296,0,0.0,43135,43135
12,21815296,21815296,0,0.0,43135,43135
13,21815296,21815296,0,0.010025262832641602,43135,43135
14,21815296,21815296,0,0.0,43135,43135
15,21815296,21815296,0,0.0,43135,43135
16,21815296,21815296,0,0.0,43135,43135
17,21815296,21815296,0,0.0,43135,43135
18,21815296,21815296,0,0.0,43135,43135
19,21815296,21815296,0,0.0,43135,43135
20,21815296,21815296,0,0.0,43135,43135
21,21815296,21815296,0,0.0,43135,43135
22,21815296,21815296,0,0.0,43135,43135
23,21815296,21815296,0,0.0,43135,43135
24,21815296,21815296,0,0.0,43135,43135
25,21815296,21815296,0,0.0,43135,43135
26,21815296,21815296,0,0.0,43135,43135
27,21815296,21815296,0,0.0,43135,43135
28,21815296,21815296,0,0.015630245208740234,43135,43135
29,21815296,21815296,0,0.0,43135,43135
30,21815296,21815296,0,0.0,43135,43135
31,21815296,21815296,0,0.0,43135,43135
32,21815296,21815296,0,0.0,43135,43135
33,21815296,21815296,0,0.0,43135,43135
34,21815296,21815296,0,0.0,43135,43135
35,21815296,21815296,0,0.0,43135,43135
36,21815296,21815296,0,0.0,43135,43135
37,21815296,21815296,0,0.0,43135,43135
38,21815296,21815296,0,0.0,43135,43135
39,21815296,21815296,0,0.0,43135,43135
40,21815296,21815296,0,0.0,43135,43135
41,21815296,21815296,0,0.0,43135,43135
42,21815296,21815296,0,0.0,43135,43135
43,21815296,21815296,0,0.0,43135,43135
44,21815296,21815296,0,0.0,43135,43135
45,21815296,21815296,0,0.0,43135,43135
46,21815296,21815296,0,0.0,43135,43135
47,21815296,21815296,0,0.0,43135,43135
48,21815296,21815296,0,0.0,43135,43135
49,21815296,21815296,0,0.0,43135,43135
50,21815296,21815296,0,0.0,43135,43135
51,21815296,21815296,0,0.0,43135,43135
52,21815296,21815296,0,0.0,43135,43135
53,21815296,21815296,0,0.0,43135,43135
54,21815296,21815296,0,0.0,43135,43135
55,21815296,21815296,0,0.0,43135,43135
56,21815296,21815296,0,0.0,43135,43135
57,21815296,21815296,0,0.0,43135,43135
58,21815296,21815296,0,0.0,43135,43135
59,21815296,21815296,0,0.0,43135,43135
60,21815296,21815296,0,0.0,43135,43135
61,21815296,21815296,0,0.0,43135,43135
62,21815296,21815296,0,0.008023500442504883,43135,43135
63,21815296,21815296,0,0.0,43135,43135
64,21815296,21815296,0,0.0,43135,43135
65,21815296,21815296,0,0.0,43135,43135
66,21860352,21860352,0,0.0,43135,43135
67,21860352,21860352,0,0.0,43135,43135
68,21860352,21860352,0,0.0,43135,43135
69,21860352,21860352,0,0.0,43135,43135
70,21860352,21860352,0,0.0,43135,43135
71,21860352,21860352,0,0.0,43135,43135
72,21860352,21860352,0,0.0,43135,43135
73,21860352,21860352,0,0.0,43135,43135
74,21860352,21860352,0,0.0,43135,43135
75,21860352,21860352,0,0.0,43135,43135
76,21860352,21860352,0,0.0,43135,43135
77,21860352,21860352,0,0.0,43135,43135
78,21860352,21860352,0,0.0,43135,43135
79,21860352,21860352,0,0.0,43135,43135
80,21860352,21860352,0,0.0,43135,43135
81,21860352,21860352,0,0.0,43135,43135
82,21860352,21860352,0,0.0,43135,43135
83,21860352,21860352,0,0.010528802871704102,43135,43135
84,21860352,21860352,0,0.0,43135,43135
85,21860352,21860352,0,0.0,43135,43135
86,21860352,21860352,0,0.0,43135,43135
87,21860352,21860352,0,0.0,43135,43135
88,21860352,21860352,0,0.0,43135,43135
89,21860352,21860352,0,0.0,43135,43135
90,21860352,21860352,0,0.0,43135,43135
91,21860352,21860352,0,0.0,43135,43135
92,21860352,21860352,0,0.0,43135,43135
93,21860352,21860352,0,0.0,43135,43135
94,21860352,21860352,0,0.0,43135,43135
95,21860352,21860352,0,0.0,43135,43135
96,21860352,21860352,0,0.0,43135,43135
97,21860352,21860352,0,0.0,43135,43135
98,21860352,21860352,0,0.0,43135,43135
99,21860352,21860352,0,0.0,43135,43135
