Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,16818176,16818176,0,0.0,530,1777
1,16822272,16822272,0,0.0,530,1777
2,16822272,16822272,0,0.0,530,1777
3,16822272,16822272,0,0.0,530,1777
4,16822272,16822272,0,0.0,530,1777
5,16822272,16822272,0,0.0,530,1777
6,16822272,16822272,0,0.0,530,1777
7,16826368,16826368,0,0.0,530,1777
8,16826368,16826368,0,0.0,530,1777
9,16826368,16826368,0,0.0,530,1777
