Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,380764160,380764160,0,0.3764834403991699,7579820,2980996
1,380768256,380768256,0,0.37721920013427734,7579820,2980996
2,380768256,380768256,0,0.3610711097717285,7579820,2980996
3,380768256,380768256,0,0.3762552738189697,7579820,2980996
4,380768256,380768256,0,0.37671327590942383,7579820,2980996
5,380768256,380768256,0,0.3771064281463623,7579820,2980996
6,380768256,380768256,0,0.3924829959869385,7579820,2980996
7,380772352,380772352,0,0.39244985580444336,7579820,2980996
8,380772352,380772352,0,0.4083569049835205,7579820,2980996
9,380772352,380772352,0,0.439791202545166,7579820,2980996
